iter	Logloss
0	0.6825301451
1	0.6776510409
2	0.6619191356
3	0.6502399215
4	0.6303388096
5	0.6140589125
6	0.6109467257
7	0.603267834
8	0.5924543396
9	0.5772303078
10	0.5667663844
11	0.5649997273
12	0.5591734167
13	0.5464492508
14	0.5383185623
15	0.5232175727
16	0.5131525647
17	0.5118322601
18	0.5008313815
19	0.4979871074
20	0.4890421875
21	0.4813746929
22	0.4700414594
23	0.4642442915
24	0.4612940694
25	0.4525877487
26	0.4485440583
27	0.4384770233
28	0.4264981807
29	0.4183060244
30	0.4152500102
31	0.4055550838
32	0.3994694658
33	0.3917627029
34	0.3854840035
35	0.3818963578
36	0.3775427338
37	0.3687630189
38	0.3654317363
39	0.3582373846
40	0.3523581725
41	0.3465420421
42	0.3431145431
43	0.3376909372
44	0.3312176285
45	0.3255080469
46	0.3199622528
47	0.3132028304
48	0.3074387724
49	0.303104251
50	0.2991161587
51	0.2959454765
52	0.2949071294
53	0.2947137395
54	0.2938358468
55	0.2861051343
56	0.2817278992
57	0.2768576401
58	0.2753693775
59	0.2691801178
60	0.2687512488
61	0.263344691
62	0.2613758807
63	0.2582074815
64	0.2557982399
65	0.2505192909
66	0.2456290459
67	0.2442888102
68	0.2387649055
69	0.2366820831
70	0.2342978021
71	0.2320414666
72	0.2319006253
73	0.2272392837
74	0.2262288121
75	0.2233425396
76	0.2193889762
77	0.2187348819
78	0.2165336989
79	0.2155404093
80	0.2115674834
81	0.2110724905
82	0.2069674045
83	0.2048556932
84	0.2007175566
85	0.1972403934
86	0.1953691799
87	0.1930922512
88	0.1916429245
89	0.1885566399
90	0.1874510398
91	0.1838299471
92	0.1828539513
93	0.1797718727
94	0.1784940429
95	0.1781513624
96	0.1760211933
97	0.173489867
98	0.1712935123
99	0.1684324206
100	0.1653076531
101	0.1635417932
102	0.1603766798
103	0.1577622609
104	0.1576696283
105	0.1552692904
106	0.1531857128
107	0.1512247697
108	0.1505814606
109	0.149741131
110	0.148823974
111	0.1466062818
112	0.1440953347
113	0.1413799238
114	0.1405350632
115	0.1390829003
116	0.1389198656
117	0.1372203643
118	0.1347078889
119	0.1341863798
120	0.1339373489
121	0.1330185368
122	0.1321717876
123	0.1308281376
124	0.1303744545
125	0.1295736349
126	0.1272375744
127	0.1260076454
128	0.1252618418
129	0.1235088321
130	0.1218027997
131	0.1200296803
132	0.1188436676
133	0.1164146002
134	0.1141846528
135	0.1117994698
136	0.1114543797
137	0.1103448652
138	0.1087743525
139	0.10710189
140	0.1053373094
141	0.10442778
142	0.103509951
143	0.1012491777
144	0.09953236048
145	0.09941911239
146	0.09772576142
147	0.09693290571
148	0.09670625249
149	0.09550539158
150	0.09423388194
151	0.09411469597
152	0.09348850266
153	0.09330837068
154	0.09322631259
155	0.09181896356
156	0.0905846891
157	0.08971576985
158	0.08847967874
159	0.08828293821
160	0.08770796375
161	0.08701317693
162	0.08617085382
163	0.08462279063
164	0.08328770577
165	0.08248505808
166	0.08148993568
167	0.08043552149
168	0.07939054242
169	0.07908381884
170	0.07838833982
171	0.07801084838
172	0.07712837282
173	0.07687246511
174	0.07666794399
175	0.07588354897
176	0.07485940168
177	0.07471887444
178	0.07338623832
179	0.07256998544
180	0.07196959032
181	0.07157502358
182	0.07128876561
183	0.07122514144
184	0.07047372817
185	0.07000152661
186	0.06905839133
187	0.06836456979
188	0.06754388559
189	0.0666038192
190	0.06609082668
191	0.06513275523
192	0.06437731467
193	0.06405912032
194	0.06323431074
